center,finServ_finCode,transType,currency,sapHkont,description,active,flagKA,flag1T,flagIntKZ,flagTL_KA,flagTL_1T,flagTL_KA_FE,flagTL_1T_FE,flagTR_L_BBVA,flagTR_L_BMX
4104,SCOTIA,I,USD,1111201053,Bco Ingr. BNMX-00030,true,false,false,false,false,false,false,false,false,true
4104,SCOTIA,I,MXN,1111101113,Bco Ingr. BNMX-69337,true,false,false,false,false,false,false,false,false,true
4104,SCOTIA,I,USD,1111202143,Bco Ingr. BBVA-04201,true,false,false,false,false,false,false,false,true,false
4104,SCOTIA,I,USD,1111202153,Bco Ingr. BBVA-31610,true,false,false,false,false,false,false,false,true,false
4104,SCOTIA,I,MXN,1111102543,Bco Ingr. BBVA-35357,true,false,false,false,false,false,false,false,true,false
4100,BBVA,E,MXN,1110510999,Banco Virtual,true,true,false,true,true,false,true,false,false,false
4100,BBVA,I,USD,1111202163,Bco Ingr. BBVA-42359,true,false,false,false,false,false,false,false,true,false
4100,DAIMLER,E,MXN,1111102552,Bco Egr. Transferencia BBVA-03239,true,false,false,true,false,false,false,false,true,false
4100,DAIMLER,E,USD,1111201062,Bco Egr. Transferencia BNMX-11113,true,false,false,true,false,false,false,false,false,true
4100,DAIMLER,I,MXN,1111102553,Bco Ingr. BBVA-03239,true,false,true,false,false,false,false,true,true,false
4100,DAIMLER,I,USD,1111201063,Bco Ingr. BNMX-11113,true,false,true,false,false,false,false,true,false,true
4100,DAIMLER,E,MXN,1111101122,Bco Egr. Transferencia BNMX-64317,true,false,false,false,false,false,false,false,false,true
4100,DAIMLER,I,MXN,1111101123,Bco Ingr. BNMX-64317,true,false,false,false,false,false,false,false,false,true
4100,SCOTIA,E,MXN,1111108122,Bco Egr. Transferencia SCO-05157,true,false,false,false,false,false,false,false,false,false
4100,SCOTIA,E,USD,1111208032,Bco Egr. Transferencia SCO-27881,true,false,false,false,false,false,false,false,false,false
4100,SCOTIA,I,MXN,1111108123,Bco Ingr. SCO-05157,true,false,false,false,false,false,false,false,false,false
4100,SCOTIA,I,USD,1111208033,Bco Ingr. SCO-27881,true,false,false,false,false,false,false,false,false,false
204,MAZDA,E,MXN,1111102572,Bco Egr. Transferencia BBVA-78534,true,false,false,true,false,false,false,false,true,false
204,MAZDA,I,MXN,1111102573,Bco Ingr. BBVA-78534,true,false,false,false,false,false,false,false,true,false
4105,BBVA,E,MXN,1111102602,Bco Egr. Transferencia BBVA-03445,true,false,false,false,false,false,false,false,true,false
4105,BBVA,I,MXN,1111102603,Bco Ingr. BBVA-03445,true,false,false,false,false,false,false,false,true,false
4105,BBVA,I,MXN,1111102613,Bco Ingr. BBVA-06145,true,false,false,false,false,false,false,false,true,false
4105,BBVA,I,USD,1111202203,Bco Ingr. BBVA-31716,true,false,false,false,false,false,false,false,true,false
4105,BMX,E,MXN,1111101152,Bco Egr. Transferencia BNMX-07580,true,false,false,false,false,false,false,false,false,true
4105,BMX,E,USD,1111201082,Bco Egr. Transferencia BNMX-00066,true,false,false,false,false,false,false,false,false,true
4105,BMX,I,MXN,1111101153,Bco Ingr. BNMX-07580,true,false,false,false,false,false,false,false,false,true
4105,BMX,I,USD,1111201083,Bco Ingr. BNMX-00066,true,false,false,false,false,false,false,false,false,true
4105,DAIMLER,E,MXN,1111102602,Bco Egr. Transferencia BBVA-03445,true,false,false,false,false,false,false,false,true,false
4105,DAIMLER,E,USD,1111201082,Bco Egr. Transferencia BNMX-00066,true,false,false,false,false,false,false,false,false,true
4105,DAIMLER,E,MXN,1111102612,Bco Egr. Transferencia BBVA-06145,true,false,false,false,false,false,false,false,true,false
4105,DAIMLER,E,USD,1111202202,Bco Egr. Transferencia BBVA-31716,true,false,false,false,false,false,false,false,true,false
4105,DAIMLER,I,USD,1111202203,Bco Ingr. BBVA-31716,true,false,true,false,false,false,false,true,true,false
4105,SCOTIA,E,MXN,1111108172,Bco Egr. Transferencia SCO-51533,true,false,false,false,false,false,false,false,false,false
4105,SCOTIA,I,MXN,1111102603,Bco Ingr. BBVA-03445,true,false,false,false,false,false,false,false,true,false
4105,SCOTIA,I,MXN,1111108173,Bco Ingr. SCO-51533,true,false,false,false,false,false,false,false,false,false
